Hue_LUT	Sat_LUT	Bri_LUT
186	139	0
189	135	0
0	132	0
3	129	0
6	127	0
9	127	0
12	127	0
14	127	0
16	127	0
18	127	0
20	127	0
22	124	0
24	121	0
26	105	0
27	95	0
28	93	0
29	90	0
30	99	0
33	109	0
35	116	0
38	127	0
40	127	0
43	127	0
45	127	0
48	127	0
51	127	0
54	127	0
56	127	0
59	127	0
61	127	0
64	127	0
66	127	0
68	127	0
69	127	0
71	127	0
73	127	0
75	127	0
77	127	0
78	127	0
80	127	0
82	127	0
83	127	0
85	127	0
87	127	0
89	127	0
91	127	0
92	127	0
94	130	0
95	134	0
97	136	0
98	141	0
100	145	0
102	149	0
103	153	0
105	158	0
106	162	0
108	166	0
109	162	0
111	158	0
113	154	0
116	150	0
118	146	0
120	143	0
123	138	0
125	133	0
127	130	0
130	126	0
133	125	0
135	127	0
137	127	0
139	127	0
141	127	0
143	128	0
145	128	0
148	129	0
150	129	0
152	130	0
154	130	0
156	131	0
158	131	0
160	132	0
161	131	0
163	131	0
165	130	0
166	130	0
168	129	0
170	129	0
172	128	0
173	128	0
175	127	0
177	127	0
178	127	0
180	127	0
182	129	0
184	132	0
185	135	0
