Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Relative Throttle Position(%)
25-1月-2014 22:55:13.469,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1190,-
25-1月-2014 22:55:13.561,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1190,-
25-1月-2014 22:55:13.661,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1196.5,2.74509811
25-1月-2014 22:55:13.761,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1196.5,2.74509811
25-1月-2014 22:55:13.861,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1193,2.74509811
25-1月-2014 22:55:13.961,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1201.25,2.35294127
25-1月-2014 22:55:14.061,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1201.25,2.74509811
25-1月-2014 22:55:14.162,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1191.25,2.74509811
25-1月-2014 22:55:14.263,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1198.25,2.74509811
25-1月-2014 22:55:14.362,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1189.25,2.35294127
25-1月-2014 22:55:14.461,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1189.25,2.35294127
25-1月-2014 22:55:14.566,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1197.5,2.35294127
25-1月-2014 22:55:14.660,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1190.5,2.74509811
25-1月-2014 22:55:14.761,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1190.5,2.74509811
25-1月-2014 22:55:14.860,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1197.5,2.74509811
25-1月-2014 22:55:14.963,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1191,2.74509811
25-1月-2014 22:55:15.061,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1191,2.74509811
25-1月-2014 22:55:15.161,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1185.75,2.74509811
25-1月-2014 22:55:15.261,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1190.75,2.74509811
25-1月-2014 22:55:15.361,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1190.75,2.35294127
25-1月-2014 22:55:15.461,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1198.25,2.35294127
25-1月-2014 22:55:15.561,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1193.5,2.74509811
25-1月-2014 22:55:15.662,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1193.5,2.74509811
25-1月-2014 22:55:15.761,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1195,2.74509811
25-1月-2014 22:55:15.861,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1093.75,1.96078432
25-1月-2014 22:55:15.962,2.83303237,6.74207211,-1.56633997,-0.06466393,0,1074.25,2.35294127
