Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Relative Throttle Position(%)
25-1月-2014 20:16:25.812,0.14982383,9.41166019,-0.19068487,-0.02128714,0,0,-
25-1月-2014 20:16:25.888,0.14982383,9.41166019,-0.19068487,-0.02128714,0,0,-
25-1月-2014 20:16:25.992,0.14982383,9.41166019,-0.19068487,-0.02128714,0,0,-
25-1月-2014 20:16:26.119,0.14982383,9.41166019,-0.19068487,-0.02128714,0,0,-
25-1月-2014 20:16:26.189,0.14982383,9.41166019,-0.19068487,-0.02128714,0,0,-
25-1月-2014 20:16:26.300,0.14982383,9.41166019,-0.19068487,-0.02128714,0,0,-
25-1月-2014 20:16:26.389,0.14982383,9.41166019,-0.19068487,-0.02128714,0,127.5,-
25-1月-2014 20:16:26.505,0.14982383,9.41166019,-0.19068487,-0.02128714,0,127.5,-
25-1月-2014 20:16:26.588,0.14982383,9.41166019,-0.19068487,-0.02128714,0,127.5,-
25-1月-2014 20:16:26.688,0.14982383,9.41166019,-0.19068487,-0.02128714,0,127.5,1.96078432
25-1月-2014 20:16:26.789,0.14982383,9.41166019,-0.19068487,-0.02128714,0,209.75,1.96078432
25-1月-2014 20:16:26.889,0.14982383,9.41166019,-0.19068487,-0.02128714,0,222.25,1.96078432
25-1月-2014 20:16:26.989,0.14982383,9.41166019,-0.19068487,-0.02128714,0,701.5,1.96078432
25-1月-2014 20:16:27.089,0.14982383,9.41166019,-0.19068487,-0.02128714,0,701.5,1.96078432
25-1月-2014 20:16:27.188,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1071.25,1.96078432
25-1月-2014 20:16:27.291,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1305.25,1.96078432
25-1月-2014 20:16:27.388,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1407,1.96078432
25-1月-2014 20:16:27.488,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1407,1.96078432
25-1月-2014 20:16:27.588,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1450.5,0.39215687
25-1月-2014 20:16:27.689,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1435.75,0.39215687
